Nama Produk,Variasi,COGS (RM),Kos Pembungkusan (RM),Yuran Chip 2.5%,Jumlah Kos,Harga TikTok (RM),Harga Cadangan Website (RM),Margin Bersih (RM),Margin %
NOTA:,,,,,"Formula: Harga Website - COGS - Pembungkusan - Chip fee",,,"Tiada komisyen platform = margin lebih tinggi ~8-12% vs TikTok"
,,,,,,,,
=== KURMA AJWA ===,,,,,,,,
AJWA Medium,100g,1.65,1.50,0.30,3.45,12.00,12.00,8.55,71.3%
AJWA Medium,300g,4.95,1.50,0.53,6.98,21.00,21.00,14.03,66.8%
AJWA Medium,500g,8.25,1.50,0.73,10.48,29.00,29.00,18.53,63.9%
AJWA Medium,1kg,16.50,1.50,0.75,18.75,30.00,30.00,11.25,37.5%
AJWA Medium,2kg,33.00,1.50,1.98,36.48,79.00,79.00,42.53,53.8%
AJWA Medium,5kg/ctn,82.50,2.00,4.98,89.48,199.00,199.00,109.53,55.0%
AJWA Medium,2 ctn,165.00,2.00,9.73,176.73,389.00,389.00,212.28,54.6%
AJWA Medium,3 ctn,247.50,2.00,14.18,263.68,567.00,567.00,303.33,53.5%
AJWA Aliyah Mix,100g,2.40,1.50,0.33,4.23,13.00,13.00,8.78,67.5%
AJWA Aliyah Mix,300g,7.20,1.50,0.58,9.28,23.00,23.00,13.73,59.7%
AJWA Aliyah Mix,500g,12.00,1.50,0.88,14.38,35.00,35.00,20.63,58.9%
AJWA Aliyah Mix,1kg,24.00,1.50,1.23,26.73,49.00,49.00,22.28,45.5%
AJWA Aliyah Mix,2kg,48.00,1.50,2.73,52.23,109.00,109.00,56.78,52.1%
AJWA Aliyah Mix,5kg/ctn,120.00,2.00,5.98,127.98,239.00,239.00,111.03,46.5%
AJWA Large,100g,3.00,1.50,0.35,4.85,14.00,14.00,9.15,65.4%
AJWA Large,300g,9.00,1.50,0.68,11.18,27.00,27.00,15.83,58.6%
AJWA Large,500g,15.00,1.50,1.08,17.58,43.00,43.00,25.43,59.1%
AJWA Large,1kg,30.00,1.50,1.73,33.23,69.00,69.00,35.78,51.9%
AJWA Large,2kg,60.00,1.50,3.23,64.73,129.00,129.00,64.28,49.8%
AJWA Large,5kg/ctn,150.00,2.00,6.23,158.23,249.00,249.00,90.78,36.5%
AJWA Jumbo,100g,3.60,1.50,0.38,5.48,15.00,15.00,9.53,63.5%
AJWA Jumbo,300g,10.80,1.50,0.73,13.03,29.00,29.00,15.98,55.1%
AJWA Jumbo,500g,18.00,1.50,1.23,20.73,49.00,49.00,28.28,57.7%
AJWA Jumbo,1kg,36.00,1.50,1.98,39.48,79.00,79.00,39.53,50.0%
AJWA Jumbo,2kg,72.00,1.50,3.75,77.25,150.00,150.00,72.75,48.5%
AJWA Jumbo,5kg/ctn,180.00,2.00,6.73,188.73,269.00,269.00,80.28,29.8%
AJWA Super Jumbo VIP,100g,4.30,1.50,0.40,6.20,16.00,16.00,9.80,61.3%
AJWA Super Jumbo VIP,300g,12.90,1.50,0.78,15.18,31.00,31.00,15.83,51.1%
AJWA Super Jumbo VIP,500g,21.50,1.50,1.23,24.23,49.00,49.00,24.78,50.6%
AJWA Super Jumbo VIP,1kg,43.00,1.50,2.23,46.73,89.00,89.00,42.28,47.5%
AJWA Super Jumbo VIP,2kg,86.00,1.50,3.48,90.98,139.00,139.00,48.03,34.6%
AJWA Super Jumbo VIP,5kg/ctn,215.00,2.00,7.73,224.73,309.00,309.00,84.28,27.3%
,,,,,,,,
=== KURMA MARIAMI ===,,,,,,,,
MARIAMI AAA,100g,3.00,1.50,0.33,4.83,13.00,13.00,8.18,62.9%
